instance,run_type,run,n_jobs,n_tools,magazine_size,variation,n_switches,run_time,author
cram_30_40_25_5,RANDOM-SA-SWAP-SW-SEED7,3,30,40,25,5,40,29.073,cram
cram_30_40_25_5,RANDOM-SA-SWAP-SW-SEED7,1,30,40,25,5,40,28.113,cram
cram_30_40_25_5,RANDOM-SA-SWAP-SW-SEED7,0,30,40,25,5,40,30.065,cram
cram_30_40_25_5,RANDOM-SA-SWAP-SW-SEED7,4,30,40,25,5,40,27.858,cram
cram_30_40_25_5,RANDOM-SD,4,30,40,25,5,54,1.614,cram
cram_30_40_25_5,RANDOM-SD,2,30,40,25,5,54,1.565,cram
cram_30_40_25_5,RANDOM-SD,3,30,40,25,5,54,1.617,cram
cram_30_40_25_5,RANDOM-SD,1,30,40,25,5,54,1.537,cram
cram_30_40_25_5,RANDOM-SD,0,30,40,25,5,54,1.777,cram
cram_30_40_25_5,RANDOM-SA-SWAP-SW-SEEDNO,1,30,40,25,5,41,61.066,cram
cram_30_40_25_5,RANDOM-SA-SWAP-SW-SEEDNO,0,30,40,25,5,39,49.696,cram
cram_30_40_25_5,RANDOM-SA-SWAP-SW-SEEDNO,2,30,40,25,5,40,48.949,cram
cram_30_40_25_5,RANDOM-SA-SWAP-SW-SEEDNO,3,30,40,25,5,41,49.183,cram
cram_30_40_25_5,RANDOM-SA-SWAP-SW-SEEDNO,4,30,40,25,5,38,50.575,cram
cram_30_40_25_6,TOOLSEQ-SD,0,30,40,25,6,36,1.605,cram
cram_30_40_25_6,TOOLSEQ-SD,1,30,40,25,6,36,1.745,cram
cram_30_40_25_6,TOOLSEQ-SD,3,30,40,25,6,36,1.652,cram
cram_30_40_25_6,TOOLSEQ-SD,2,30,40,25,6,36,1.702,cram
cram_30_40_25_6,TOOLSEQ-SD,4,30,40,25,6,36,1.663,cram
cram_30_40_25_6,ORDERED-SD,4,30,40,25,6,50,1.531,cram
cram_30_40_25_6,ORDERED-SD,0,30,40,25,6,50,1.572,cram
cram_30_40_25_6,ORDERED-SD,1,30,40,25,6,50,1.569,cram
cram_30_40_25_6,ORDERED-SD,3,30,40,25,6,50,1.572,cram
cram_30_40_25_6,ORDERED-SD,2,30,40,25,6,50,1.55,cram
cram_30_40_25_6,RANDOM-SA-SWAP-SW-SEED7,2,30,40,25,6,31,30.984,cram
cram_30_40_25_6,RANDOM-SA-SWAP-SW-SEED7,3,30,40,25,6,31,31.583,cram
cram_30_40_25_6,RANDOM-SA-SWAP-SW-SEED7,1,30,40,25,6,31,30.977,cram
cram_30_40_25_6,RANDOM-SA-SWAP-SW-SEED7,0,30,40,25,6,31,29.462,cram
cram_30_40_25_6,RANDOM-SA-SWAP-SW-SEED7,4,30,40,25,6,31,32.385,cram
cram_30_40_25_6,RANDOM-SD,4,30,40,25,6,46,1.631,cram
cram_30_40_25_6,RANDOM-SD,2,30,40,25,6,46,1.566,cram
cram_30_40_25_6,RANDOM-SD,3,30,40,25,6,46,1.587,cram
cram_30_40_25_6,RANDOM-SD,1,30,40,25,6,46,1.584,cram
cram_30_40_25_6,RANDOM-SD,0,30,40,25,6,46,1.681,cram
cram_30_40_25_6,RANDOM-SA-SWAP-SW-SEEDNO,1,30,40,25,6,30,43.496,cram
cram_30_40_25_6,RANDOM-SA-SWAP-SW-SEEDNO,0,30,40,25,6,30,42.372,cram
cram_30_40_25_6,RANDOM-SA-SWAP-SW-SEEDNO,2,30,40,25,6,32,49.815,cram
cram_30_40_25_6,RANDOM-SA-SWAP-SW-SEEDNO,3,30,40,25,6,30,55.529,cram
cram_30_40_25_6,RANDOM-SA-SWAP-SW-SEEDNO,4,30,40,25,6,30,58.04,cram
cram_30_40_25_7,TOOLSEQ-SD,0,30,40,25,7,45,1.918,cram
cram_30_40_25_7,TOOLSEQ-SD,1,30,40,25,7,45,1.842,cram
cram_30_40_25_7,TOOLSEQ-SD,3,30,40,25,7,45,1.815,cram
cram_30_40_25_7,TOOLSEQ-SD,2,30,40,25,7,45,1.815,cram
cram_30_40_25_7,TOOLSEQ-SD,4,30,40,25,7,45,1.776,cram
cram_30_40_25_7,ORDERED-SD,4,30,40,25,7,52,1.741,cram
cram_30_40_25_7,ORDERED-SD,0,30,40,25,7,52,1.857,cram
cram_30_40_25_7,ORDERED-SD,1,30,40,25,7,52,1.754,cram
cram_30_40_25_7,ORDERED-SD,3,30,40,25,7,52,1.862,cram
cram_30_40_25_7,ORDERED-SD,2,30,40,25,7,52,1.769,cram
cram_30_40_25_7,RANDOM-SA-SWAP-SW-SEED7,2,30,40,25,7,30,22.324,cram
cram_30_40_25_7,RANDOM-SA-SWAP-SW-SEED7,3,30,40,25,7,30,22.576,cram
cram_30_40_25_7,RANDOM-SA-SWAP-SW-SEED7,1,30,40,25,7,30,17.552,cram
cram_30_40_25_7,RANDOM-SA-SWAP-SW-SEED7,0,30,40,25,7,30,18.203,cram
cram_30_40_25_7,RANDOM-SA-SWAP-SW-SEED7,4,30,40,25,7,30,22.313,cram
cram_30_40_25_7,RANDOM-SD,4,30,40,25,7,51,1.586,cram
cram_30_40_25_7,RANDOM-SD,2,30,40,25,7,51,1.622,cram
cram_30_40_25_7,RANDOM-SD,3,30,40,25,7,51,1.653,cram
cram_30_40_25_7,RANDOM-SD,1,30,40,25,7,51,1.59,cram
cram_30_40_25_7,RANDOM-SD,0,30,40,25,7,51,1.554,cram
cram_30_40_25_7,RANDOM-SA-SWAP-SW-SEEDNO,1,30,40,25,7,31,32.696,cram
cram_30_40_25_7,RANDOM-SA-SWAP-SW-SEEDNO,0,30,40,25,7,37,43.36,cram
cram_30_40_25_7,RANDOM-SA-SWAP-SW-SEEDNO,2,30,40,25,7,36,52.672,cram
cram_30_40_25_7,RANDOM-SA-SWAP-SW-SEEDNO,3,30,40,25,7,37,57.731,cram
cram_30_40_25_7,RANDOM-SA-SWAP-SW-SEEDNO,4,30,40,25,7,38,49.737,cram
cram_30_40_25_8,TOOLSEQ-SD,0,30,40,25,8,51,1.946,cram
cram_30_40_25_8,TOOLSEQ-SD,1,30,40,25,8,51,1.597,cram
cram_30_40_25_8,TOOLSEQ-SD,3,30,40,25,8,51,1.719,cram
cram_30_40_25_8,TOOLSEQ-SD,2,30,40,25,8,51,1.67,cram
cram_30_40_25_8,TOOLSEQ-SD,4,30,40,25,8,51,1.686,cram
cram_30_40_25_8,ORDERED-SD,4,30,40,25,8,64,1.568,cram
cram_30_40_25_8,ORDERED-SD,0,30,40,25,8,64,1.8,cram
cram_30_40_25_8,ORDERED-SD,1,30,40,25,8,64,1.658,cram
cram_30_40_25_8,ORDERED-SD,3,30,40,25,8,64,1.467,cram
cram_30_40_25_8,ORDERED-SD,2,30,40,25,8,64,1.496,cram
cram_30_40_25_8,RANDOM-SA-SWAP-SW-SEED7,2,30,40,25,8,44,29.483,cram
cram_30_40_25_8,RANDOM-SA-SWAP-SW-SEED7,3,30,40,25,8,44,29.451,cram
cram_30_40_25_8,RANDOM-SA-SWAP-SW-SEED7,1,30,40,25,8,44,28.643,cram
cram_30_40_25_8,RANDOM-SA-SWAP-SW-SEED7,0,30,40,25,8,44,30.05,cram
cram_30_40_25_8,RANDOM-SA-SWAP-SW-SEED7,4,30,40,25,8,44,29.061,cram
cram_30_40_25_8,RANDOM-SD,4,30,40,25,8,63,1.82,cram
cram_30_40_25_8,RANDOM-SD,2,30,40,25,8,63,1.717,cram
cram_30_40_25_8,RANDOM-SD,3,30,40,25,8,63,1.643,cram
cram_30_40_25_8,RANDOM-SD,1,30,40,25,8,63,1.711,cram
cram_30_40_25_8,RANDOM-SD,0,30,40,25,8,63,1.784,cram
cram_30_40_25_8,RANDOM-SA-SWAP-SW-SEEDNO,1,30,40,25,8,43,45.071,cram
cram_30_40_25_8,RANDOM-SA-SWAP-SW-SEEDNO,0,30,40,25,8,41,48.721,cram
cram_30_40_25_8,RANDOM-SA-SWAP-SW-SEEDNO,2,30,40,25,8,42,74.549,cram
cram_30_40_25_8,RANDOM-SA-SWAP-SW-SEEDNO,3,30,40,25,8,42,57.701,cram
cram_30_40_25_8,RANDOM-SA-SWAP-SW-SEEDNO,4,30,40,25,8,42,69.275,cram
cram_30_40_25_9,TOOLSEQ-SD,0,30,40,25,9,30,2.204,cram
cram_30_40_25_9,TOOLSEQ-SD,1,30,40,25,9,30,1.72,cram
cram_30_40_25_9,TOOLSEQ-SD,3,30,40,25,9,30,1.73,cram
cram_30_40_25_9,TOOLSEQ-SD,2,30,40,25,9,30,1.693,cram
cram_30_40_25_9,TOOLSEQ-SD,4,30,40,25,9,30,1.705,cram
cram_30_40_25_9,ORDERED-SD,4,30,40,25,9,45,1.584,cram
cram_30_40_25_9,ORDERED-SD,0,30,40,25,9,45,2.001,cram
cram_30_40_25_9,ORDERED-SD,1,30,40,25,9,45,1.625,cram
cram_30_40_25_9,ORDERED-SD,3,30,40,25,9,45,1.532,cram
cram_30_40_25_9,ORDERED-SD,2,30,40,25,9,45,1.636,cram
cram_30_40_25_9,RANDOM-SA-SWAP-SW-SEED7,2,30,40,25,9,30,26.292,cram
cram_30_40_25_9,RANDOM-SA-SWAP-SW-SEED7,3,30,40,25,9,30,26.273,cram
cram_30_40_25_9,RANDOM-SA-SWAP-SW-SEED7,1,30,40,25,9,30,25.721,cram
